ID,Name,Link,Exam,Questions,Answers
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2013 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract-theory-V13-14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract-theory-Fall-2013-exam-solutions-v3.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2012 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract theory V12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract Theory V12-13.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,"2011 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract-theory-VR11-12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract Theory VR11-12.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2011 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract-theory V11-12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract theory V11-12.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,"2010 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract theory VR11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract theory VR11.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2010 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract theory V11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Contract Theory V11.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2009 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Contract Theory.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv contract Theory V10.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,"2016 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU Exam February 2017 ny.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv EUSolutionsExamFebruary.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2016 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU Exam_December_20_2016.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv EU ExamDecember16.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,"2015 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EconomicsofEUExamFebruary2016.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Ec of EUSolutionsExamFebruary.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2015 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EconomicsofEUExamDecember2015.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Ec of the EU dec 15.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2014 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU Economics - januar 15.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv EU Economics 15 DEC 2014.fin.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2013 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU Economics ExamV13-14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv EU Economics V13-14.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,"2012 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Economics of the EU VR2012-13.pdf,None
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2012 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Eng Economics of the EU 2012-2013 I.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Economics of the EU V12-13.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,"2011 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/The Economics of the EU SET 2 MD.pdf,None
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2011 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/The Economics of the EU V11-12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Economics of the EU V11-12.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,"2010 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU-fag VR11.pdf,None
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2010 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU-fag V11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Economics of The EU V11.pdf
20,Economics of the European Union,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=20&fagnavn=Economics%20of%20the%20European%20Union,2009 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/EU-fag V10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Economics of EU V10.pdf
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,2014 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/forvaltningslære S14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv FV-lære den rigtige S14.pdf
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,2013 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningslære S13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningslære S13.pdf
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,2012 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningslære S12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningslære S12.pdf
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,2011 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/FV-LæreØKONOMISKKANDIDATEKSAMEN - 29. juni 2011.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningslære S11.pdf
